Place	Municipality	Population	Women	Men	0-17	18-64	65.0	Married	Single	Foreign Background	Foreign Born	Foreign National	Average Age	County
Gotland	7	57122	50.6	49.4	20.0	60.6	19.5	32.2	9.6	5.4	4.4	1.7	42.8	8
Blekinge county		151900	49.5	50.5	20.0	59.5	20.5	36.6	8.8	11.2	9.4	4.4	42.7	9
Karlshamn	7	31052	49.9	50.1	19.3	59.1	21.6	36.5	9.3	9.6	7.8	3.6	43.6	9
Karlskrona	3	62338	49.6	50.4	20.7	60.3	19.0	35.8	8.4	10.0	8.6	4.7	41.6	9
Olofström	6	13198	49.5	50.5	19.8	57.5	22.7	37.9	9.4	22.5	17.7	6.5	44.3	9
Ronneby	7	28491	48.7	51.3	19.3	59.7	21.0	37.1	8.7	10.8	9.1	4.1	43.1	9
Sölvesborg	8	16821	49.8	50.2	19.8	58.5	21.7	37.5	9.0	11.0	9.2	3.9	43.5	9
Skåne county		1199357	50.6	49.4	20.8	61.6	17.7	35.7	9.8	20.8	16.2	7.0	40.9	10
Bjuv	4	14470	49.7	50.3	23.4	60.2	16.4	37.9	9.5	22.1	17.1	8.8	40.0	10
Bromölla	4	12181	49.9	50.1	21.1	58.7	20.3	37.9	9.2	11.5	9.3	3.5	42.6	10
Burlöv	2	15952	49.9	50.1	22.8	60.8	16.4	38.9	10.2	31.7	24.2	9.2	39.8	10
Båstad	8	14242	50.8	49.2	18.3	56.4	25.4	40.8	9.1	9.5	8.0	3.4	46.2	10
Eslöv	4	30775	49.8	50.2	23.0	60.2	16.8	37.1	8.4	17.0	13.1	5.4	40.1	10
Helsingborg	3	124986	51.1	48.9	20.3	62.1	17.6	34.1	11.2	23.6	18.1	6.8	41.1	10
Hässleholm	7	49780	50.1	49.9	20.9	58.9	20.2	36.8	9.4	13.0	10.5	4.8	42.4	10
Höganäs	4	24065	51.1	48.9	21.7	56.9	21.4	42.3	8.7	11.3	9.2	3.9	43.6	10
Hörby	4	14584	49.9	50.1	21.0	59.8	19.2	37.2	9.2	10.3	8.6	4.7	42.3	10
Höör	4	14924	50.1	49.9	22.8	59.7	17.5	38.2	9.5	11.5	9.6	4.7	41.0	10
Klippan	8	16254	49.6	50.4	21.0	59.6	19.4	36.4	10.1	13.9	11.4	6.8	42.4	10
Kristianstad	3	77245	50.8	49.2	20.9	60.3	18.8	35.9	9.4	15.0	11.7	4.5	41.6	10
